route_id,service_id,trip_headsign,direction_id,shape_id,trip_id
104,1,Kempegowda Bus Station,1,104 DOWN,40070
104,1,Kempegowda Bus Station,1,104 DOWN,40071
104,1,Kempegowda Bus Station,1,104 DOWN,40072
104,1,Kempegowda Bus Station,1,104 DOWN,40073
104,1,Kempegowda Bus Station,1,104 DOWN,40074
104,1,Kempegowda Bus Station,1,104 DOWN,40075
104,1,Kempegowda Bus Station,1,104 DOWN,40076
104,1,Sadashivanagara,0,104 UP,40063
104,1,Sadashivanagara,0,104 UP,40064
104,1,Sadashivanagara,0,104 UP,40065
104,1,Sadashivanagara,0,104 UP,40066
104,1,Sadashivanagara,0,104 UP,40067
104,1,Sadashivanagara,0,104 UP,40068
104,1,Sadashivanagara,0,104 UP,40069
107-C D14G-SBS,1,Depot-14 Gate,1,107-C D14G-SBS DOWN,39985
107-C D14G-SBS,1,Depot-14 Gate,1,107-C D14G-SBS DOWN,39986
107-C D14G-SBS,1,Depot-14 Gate,1,107-C D14G-SBS DOWN,39987
107-C D14G-SBS,1,Depot-14 Gate,1,107-C D14G-SBS DOWN,39988
107-C D14G-SBS,1,Depot-14 Gate,1,107-C D14G-SBS DOWN,39989
107-C D14G-SBS,1,Shivajinagara Bus Station,0,107-C D14G-SBS UP,39982
107-C D14G-SBS,1,Shivajinagara Bus Station,0,107-C D14G-SBS UP,39983
107-C D14G-SBS,1,Shivajinagara Bus Station,0,107-C D14G-SBS UP,39984
111,1,KR Market,1,111 DOWN,15532
111,1,KR Market,1,111 DOWN,15533
111,1,KR Market,1,111 DOWN,15534
111,1,KR Market,1,111 DOWN,15535
111,1,KR Market,1,111 DOWN,15536
111,1,KR Market,1,111 DOWN,15537
111,1,KR Market,1,111 DOWN,15538
111,1,KR Market,1,111 DOWN,15539
111,1,KR Market,1,111 DOWN,15540
111,1,KR Market,1,111 DOWN,15541
111,1,KR Market,1,111 DOWN,15542
111,1,KR Market,1,111 DOWN,15543
111,1,KR Market,1,111 DOWN,15544
111,1,KR Market,1,111 DOWN,15545
111,1,KR Market,1,111 DOWN,15546
111,1,KR Market,1,111 DOWN,15547
111,1,KR Market,1,111 DOWN,15548
111,1,KR Market,1,111 DOWN,15549
111,1,KR Market,1,111 DOWN,15550
111,1,KR Market,1,111 DOWN,15551
111,1,KR Market,1,111 DOWN,15552
111,1,KR Market,1,111 DOWN,15553
111,1,KR Market,1,111 DOWN,15554
111,1,KR Market,1,111 DOWN,15555
111,1,KR Market,1,111 DOWN,15556
111,1,KR Market,1,111 DOWN,15557
111,1,KR Market,1,111 DOWN,15558
111,1,KR Market,1,111 DOWN,15559
111,1,KR Market,1,111 DOWN,15560
111,1,KR Market,1,111 DOWN,15561
111,1,KR Market,1,111 DOWN,15562
111,1,KR Market,1,111 DOWN,15563
111,1,KR Market,1,111 DOWN,15564
111,1,KR Market,1,111 DOWN,15565
111,1,KR Market,1,111 DOWN,15566
111,1,KR Market,1,111 DOWN,15567
111,1,KR Market,1,111 DOWN,15568
111,1,KR Market,1,111 DOWN,15569
111,1,KR Market,1,111 DOWN,15570
111,1,KR Market,1,111 DOWN,15571
111,1,KR Market,1,111 DOWN,15572
111,1,KR Market,1,111 DOWN,15573
111,1,KR Market,1,111 DOWN,15574
111,1,KR Market,1,111 DOWN,15575
111,1,KR Market,1,111 DOWN,15576
111,1,KR Market,1,111 DOWN,15577
111,1,KR Market,1,111 DOWN,15578
111,1,KR Market,1,111 DOWN,15579
111,1,KR Market,1,111 DOWN,15580
111,1,KR Market,1,111 DOWN,15581
111,1,KR Market,1,111 DOWN,15582
111,1,Kaval Byrasandra,0,111 UP,15482
111,1,Kaval Byrasandra,0,111 UP,15483
111,1,Kaval Byrasandra,0,111 UP,15484
111,1,Kaval Byrasandra,0,111 UP,15485
111,1,Kaval Byrasandra,0,111 UP,15486
111,1,Kaval Byrasandra,0,111 UP,15487
111,1,Kaval Byrasandra,0,111 UP,15488
111,1,Kaval Byrasandra,0,111 UP,15489
111,1,Kaval Byrasandra,0,111 UP,15490
111,1,Kaval Byrasandra,0,111 UP,15491
111,1,Kaval Byrasandra,0,111 UP,15492
111,1,Kaval Byrasandra,0,111 UP,15493
111,1,Kaval Byrasandra,0,111 UP,15494
111,1,Kaval Byrasandra,0,111 UP,15495
111,1,Kaval Byrasandra,0,111 UP,15496
111,1,Kaval Byrasandra,0,111 UP,15497
111,1,Kaval Byrasandra,0,111 UP,15498
111,1,Kaval Byrasandra,0,111 UP,15499
111,1,Kaval Byrasandra,0,111 UP,15500
111,1,Kaval Byrasandra,0,111 UP,15501
111,1,Kaval Byrasandra,0,111 UP,15502
111,1,Kaval Byrasandra,0,111 UP,15503
111,1,Kaval Byrasandra,0,111 UP,15504
111,1,Kaval Byrasandra,0,111 UP,15505
111,1,Kaval Byrasandra,0,111 UP,15506
111,1,Kaval Byrasandra,0,111 UP,15507
111,1,Kaval Byrasandra,0,111 UP,15508
111,1,Kaval Byrasandra,0,111 UP,15509
111,1,Kaval Byrasandra,0,111 UP,15510
111,1,Kaval Byrasandra,0,111 UP,15511
111,1,Kaval Byrasandra,0,111 UP,15512
111,1,Kaval Byrasandra,0,111 UP,15513
111,1,Kaval Byrasandra,0,111 UP,15514
111,1,Kaval Byrasandra,0,111 UP,15515
111,1,Kaval Byrasandra,0,111 UP,15516
111,1,Kaval Byrasandra,0,111 UP,15517
111,1,Kaval Byrasandra,0,111 UP,15518
111,1,Kaval Byrasandra,0,111 UP,15519
111,1,Kaval Byrasandra,0,111 UP,15520
111,1,Kaval Byrasandra,0,111 UP,15521
111,1,Kaval Byrasandra,0,111 UP,15522
111,1,Kaval Byrasandra,0,111 UP,15523
111,1,Kaval Byrasandra,0,111 UP,15524
111,1,Kaval Byrasandra,0,111 UP,15525
111,1,Kaval Byrasandra,0,111 UP,15526
111,1,Kaval Byrasandra,0,111 UP,15527
111,1,Kaval Byrasandra,0,111 UP,15528
111,1,Kaval Byrasandra,0,111 UP,15529
111,1,Kaval Byrasandra,0,111 UP,15530
111,1,Kaval Byrasandra,0,111 UP,15531
111 CMS-KBR,1,Cubbon Park Metro Station,1,111 CMS-KBR DOWN,44748
111 CMS-KBR,1,Cubbon Park Metro Station,1,111 CMS-KBR DOWN,44749
111-C,1,Kaval Byrasandra,0,111-C UP,15583
111-C,1,Kaval Byrasandra,0,111-C UP,15584
111-C,1,Kaval Byrasandra,0,111-C UP,15585
111-C,1,Kaval Byrasandra,0,111-C UP,15586
